Start_Date,End_Date,Init_Flooded_Area_SqKM,Flooded_Difference_SqKM,Flooded_Area_SqKM
2024-07-06,2024-07-06,749.06,405.97,1155.03
2024-07-06,2024-07-08,749.06,405.97,1155.03
2024-07-06,2024-07-11,749.06,405.97,1155.03
2024-07-06,2024-07-12,749.06,405.97,1155.03
2024-07-06,2024-07-13,749.06,405.97,1155.03
2024-07-06,2024-07-17,749.06,405.97,1155.03
2024-07-06,2024-07-18,749.06,405.97,1155.03
2024-07-06,2024-07-25,749.06,405.97,1155.03
2024-07-06,2024-07-27,749.06,405.97,1155.03
2024-07-06,2024-07-29,749.06,405.97,1155.03
2024-07-06,2024-07-30,749.06,405.97,1155.03
2024-07-06,2024-08-01,749.06,405.97,1155.03
2024-07-06,2024-08-04,749.06,405.97,1155.03
2024-07-06,2024-08-10,749.06,405.97,1155.03
2024-07-06,2024-08-11,749.06,405.97,1155.03
2024-07-06,2024-08-13,749.06,405.97,1155.03
2024-07-06,2024-08-15,749.06,405.97,1155.03
2024-07-06,2024-08-16,749.06,405.97,1155.03
2024-07-06,2024-08-17,749.06,405.97,1155.03
2024-07-06,2024-08-18,749.06,405.97,1155.03
2024-07-06,2024-08-22,749.06,405.97,1155.03
2024-07-06,2024-08-23,749.06,405.97,1155.03
2024-07-06,2024-08-25,749.06,405.97,1155.03
2024-07-06,2024-08-27,749.06,405.97,1155.03
2024-07-06,2024-08-28,749.06,405.97,1155.03
2024-07-06,2024-08-29,749.06,405.97,1155.03
2024-07-06,2024-08-30,749.06,405.97,1155.03
2024-07-06,2024-09-04,749.06,405.97,1155.03
2024-07-06,2024-09-06,749.06,405.97,1155.03
2024-07-06,2024-09-08,749.06,405.97,1155.03
2024-07-06,2024-09-09,749.06,405.97,1155.03
2024-07-06,2024-09-11,749.06,405.97,1155.03
2024-07-06,2024-09-15,749.06,405.97,1155.03
2024-07-06,2024-09-16,749.06,405.97,1155.03
2024-07-06,2024-09-18,749.06,405.97,1155.03
2024-07-06,2024-09-20,749.06,405.97,1155.03
2024-07-06,2024-09-21,749.06,405.97,1155.03
2024-07-06,2024-09-22,749.06,405.97,1155.03
2024-07-06,2024-09-23,749.06,405.97,1155.03
2024-07-06,2024-09-27,749.06,405.97,1155.03
2024-07-06,2024-09-28,749.06,405.97,1155.03
2024-07-06,2024-09-30,749.06,405.97,1155.03
2024-07-06,2024-10-22,749.06,405.97,1155.03
2024-07-06,2024-10-24,749.06,405.97,1155.03
2024-07-06,2024-10-26,749.06,405.97,1155.03
2024-07-06,2024-10-27,749.06,405.97,1155.03
2024-07-06,2024-10-29,749.06,405.97,1155.03
2024-07-18,2024-07-18,720.22,386.0,1106.22
2024-07-18,2024-07-25,720.22,386.0,1106.22
2024-07-18,2024-07-27,720.22,386.0,1106.22
2024-07-18,2024-07-29,720.22,386.0,1106.22
2024-07-18,2024-07-30,720.22,386.0,1106.22
2024-07-18,2024-08-01,720.22,386.0,1106.22
2024-07-18,2024-08-04,720.22,386.0,1106.22
2024-07-18,2024-08-10,720.22,386.0,1106.22
2024-07-18,2024-08-11,720.22,386.0,1106.22
2024-07-18,2024-08-13,720.22,386.0,1106.22
2024-07-18,2024-08-15,720.22,386.0,1106.22
2024-07-18,2024-08-16,720.22,386.0,1106.22
2024-07-18,2024-08-17,720.22,386.0,1106.22
2024-07-18,2024-08-18,720.22,386.0,1106.22
2024-07-18,2024-08-22,720.22,386.0,1106.22
2024-07-18,2024-08-23,720.22,386.0,1106.22
2024-07-18,2024-08-25,720.22,386.0,1106.22
2024-07-18,2024-08-27,720.22,386.0,1106.22
2024-07-18,2024-08-28,720.22,386.0,1106.22
2024-07-18,2024-08-29,720.22,386.0,1106.22
2024-07-18,2024-08-30,720.22,386.0,1106.22
2024-07-18,2024-09-04,720.22,386.0,1106.22
2024-07-18,2024-09-06,720.22,386.0,1106.22
2024-07-18,2024-09-08,720.22,386.0,1106.22
2024-07-18,2024-09-09,720.22,386.0,1106.22
2024-07-18,2024-09-11,720.22,386.0,1106.22
2024-07-18,2024-09-15,720.22,386.0,1106.22
2024-07-18,2024-09-16,720.22,386.0,1106.22
2024-07-18,2024-09-18,720.22,386.0,1106.22
