Admin2,Admin1,Start_Date,End_Date,Date_Passed,Flooded_Area_SqKM,Flood_Area_Difference,Population_Exposed,Population_Exposed_Difference
Yangon (West),Yangon,2024-07-01,2024-07-30,29.0,0.01,0.0,137,0
Yangon (West),Yangon,2024-07-01,2024-08-15,45.0,0.02,0.01,225,88
Yangon (West),Yangon,2024-07-01,2024-09-28,89.0,0.03,0.01,330,105
Yangon (West),Yangon,2024-07-05,2024-07-30,25.0,0.01,0.0,137,0
Yangon (West),Yangon,2024-07-05,2024-08-15,41.0,0.02,0.01,225,88
Yangon (West),Yangon,2024-07-05,2024-09-28,85.0,0.03,0.01,330,105
Yangon (West),Yangon,2024-07-06,2024-07-30,24.0,0.01,0.0,137,0
Yangon (West),Yangon,2024-07-06,2024-08-15,40.0,0.02,0.01,225,88
Yangon (West),Yangon,2024-07-06,2024-09-28,84.0,0.03,0.01,330,105
Yangon (West),Yangon,2024-07-08,2024-07-30,22.0,0.01,0.0,137,0
Yangon (West),Yangon,2024-07-08,2024-08-15,38.0,0.02,0.01,225,88
Yangon (West),Yangon,2024-07-08,2024-09-28,82.0,0.03,0.01,330,105
Yangon (West),Yangon,2024-07-11,2024-07-30,19.0,0.01,0.0,137,0
Yangon (West),Yangon,2024-07-11,2024-08-15,35.0,0.02,0.01,225,88
Yangon (West),Yangon,2024-07-11,2024-09-28,79.0,0.03,0.01,330,105
Yangon (West),Yangon,2024-07-12,2024-07-30,18.0,0.01,0.0,137,0
Yangon (West),Yangon,2024-07-12,2024-08-15,34.0,0.02,0.01,225,88
Yangon (West),Yangon,2024-07-12,2024-09-28,78.0,0.03,0.01,330,105
Yangon (West),Yangon,2024-07-13,2024-07-30,17.0,0.01,0.0,137,0
Yangon (West),Yangon,2024-07-13,2024-08-15,33.0,0.02,0.01,225,88
Yangon (West),Yangon,2024-07-13,2024-09-28,77.0,0.03,0.01,330,105
Yangon (West),Yangon,2024-07-17,2024-07-30,13.0,0.01,0.0,137,0
Yangon (West),Yangon,2024-07-17,2024-08-15,29.0,0.02,0.01,225,88
Yangon (West),Yangon,2024-07-17,2024-09-28,73.0,0.03,0.01,330,105
Yangon (West),Yangon,2024-07-18,2024-07-30,12.0,0.01,0.0,137,0
Yangon (West),Yangon,2024-07-18,2024-08-15,28.0,0.02,0.01,225,88
Yangon (West),Yangon,2024-07-18,2024-09-28,72.0,0.03,0.01,330,105
Yangon (West),Yangon,2024-07-25,2024-07-30,5.0,0.01,0.0,137,0
Yangon (West),Yangon,2024-07-25,2024-08-15,21.0,0.02,0.01,225,88
Yangon (West),Yangon,2024-07-25,2024-09-28,65.0,0.03,0.01,330,105
Yangon (West),Yangon,2024-07-27,2024-07-30,3.0,0.01,0.0,137,0
Yangon (West),Yangon,2024-07-27,2024-08-15,19.0,0.02,0.01,225,88
Yangon (West),Yangon,2024-07-27,2024-09-28,63.0,0.03,0.01,330,105
Yangon (West),Yangon,2024-07-29,2024-07-30,1.0,0.01,0.0,137,0
Yangon (West),Yangon,2024-07-29,2024-08-15,17.0,0.02,0.01,225,88
Yangon (West),Yangon,2024-07-29,2024-09-28,61.0,0.03,0.01,330,105
Yangon (West),Yangon,2024-07-30,2024-07-30,0.0,0.01,0.0,137,0
Yangon (West),Yangon,2024-07-30,2024-08-15,16.0,0.02,0.01,225,88
Yangon (West),Yangon,2024-07-30,2024-09-28,60.0,0.03,0.01,330,105
Yangon (West),Yangon,2024-08-01,2024-08-15,14.0,0.01,0.0,88,0
Yangon (West),Yangon,2024-08-01,2024-09-28,58.0,0.02,0.01,193,105
Yangon (West),Yangon,2024-08-04,2024-08-15,11.0,0.01,0.0,88,0
Yangon (West),Yangon,2024-08-04,2024-09-28,55.0,0.02,0.01,193,105
Yangon (West),Yangon,2024-08-10,2024-08-15,5.0,0.01,0.0,88,0
